slurmstepd: info: Setting TMPDIR to /scratch/10928454. Previous errors about TMPDIR can be discarded
cesga/2020 unloaded
        Preparing the environment for use of the CESGA 2020 software stack.
        Please rebuild modules cache: module --ignore-cache avail
     
cesga/2020 loaded
python/3.9.9 loaded
jupyter-server/1.13.5-python-3.9.9 loaded
jupyterlab/3.2.4-python-3.9.9 loaded
  0%|          | 0/480 [00:00<?, ?batch/s]Restormer model not found. Restormer preprocessing will be disabled.
Available Models: ['FRNet', 'FRNet_1ch', 'FRNetR', 'RoiNet11', 'RoiNet9', 'RoiNet9_plusk', 'RoiNet7', 'RoiNet5', 'RoiNet3', 'RoiNetR', 'RoiNet9x1.5', 'RoiNet7x1.5', 'RoiNet5x1.5', 'RoiNet3x1.5', 'RoiNet9x0.5', 'RoiNet7x0.5', 'RoiNet5x0.5', 'RoiNetx2', 'RoiNet_AblationOne_Simple', 'RoiNet_Ablation3_Simple', 'RoiNet_AblationOne_Residual', 'RoiNet_Ablation3_Residual']
Datasets_library: {'FIVES512': {'paths': {'train': 'dataset/FIVES512/train', 'val': 'dataset/FIVES512/val', 'test': 'dataset/FIVES512/test'}, 'preprocessing': {'start': 0, 'end': 1}}, 'FIVES': {'paths': {'train': 'dataset/FIVES/train', 'val': 'dataset/FIVES/val', 'test': 'dataset/FIVES/test'}, 'preprocessing': {'start': 0, 'end': 1}}}
USING CHANNELS = 3
Available Datasets: ['FIVES512', 'FIVES']
All datasets: {'FIVES512': {'train': <ds.dataset.SegmentationDataset object at 0x152203e16710>, 'val': <ds.dataset.SegmentationDataset object at 0x152203e220d0>, 'test': <ds.dataset.SegmentationDataset object at 0x152203da82d0>}, 'FIVES': {'train': <ds.dataset.SegmentationDataset object at 0x152203da9d50>, 'val': <ds.dataset.SegmentationDataset object at 0x152203d84790>, 'test': <ds.dataset.SegmentationDataset object at 0x152203d87650>}}
Dataset a usar: {'train': <ds.dataset.SegmentationDataset object at 0x152203da9d50>, 'val': <ds.dataset.SegmentationDataset object at 0x152203d84790>, 'test': <ds.dataset.SegmentationDataset object at 0x152203d87650>}
Configuración de Entrenamiento:
  Model: RoiNet_Ablation3_Residual
  Dataset: FIVES
  Config File: code/config/config.json
  Epochs: 300
  Thresh Value: 100
  Batch Size: 1
  Num Workers: 32
  Learning Rate: 0.0001
  Weight Decay: 0.001
  Loss Function: Dice
  Loss Alpha: 0.2
  Loss Beta: 0.8
  Loss Gamma: 0.5
  Logging Enabled: True
  Output Prefix: RoiNet_Ablation3_Residual_
  Augmentation Config: {'enabled': True, 'geometric': False, 'elastic': False, 'intensity_and_color': False, 'gamma': False, 'noise': False, 'otrosfives': True}
  Restormer Enabled: False
  Output Directory: run_benchmark_runs/RoiNet_Ablation3_Residual_result_2025-03-10_12-24-47
Parameters logged to: run_benchmark_runs/RoiNet_Ablation3_Residual_result_2025-03-10_12-24-47/parameters_FIVES_RoiNet_Ablation3_Residual_Dice_True_False.log
Modelo cargado en GPU:
- Parámetros totales: 4687174
- Memoria ocupada por modelo en GPU: 17.88 MB
==== Memoria GPU - Después de cargar el modelo en GPU ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB
USING: Dice
==== Memoria GPU - Inicio de época ====
GPU 0 - Total: 40442.4 MB | Allocated: 17.9 MB | Cached: 24.0 MB
Train Epoch 0:   0%|          | 0/480 [00:02<?, ?batch/s]
Train Epoch 0:   0%|          | 0/480 [00:12<?, ?batch/s, avg_loss=0.860, curr_loss=0.860, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:16<01:54,  2.00batch/s, avg_loss=0.589, curr_loss=0.845, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:16<01:54,  2.00batch/s, avg_loss=0.589, curr_loss=0.845, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:16<01:54,  2.00batch/s, avg_loss=0.588, curr_loss=0.376, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:16<01:54,  2.00batch/s, avg_loss=0.588, curr_loss=0.376, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:17<01:54,  2.00batch/s, avg_loss=0.588, curr_loss=0.519, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:17<01:54,  2.00batch/s, avg_loss=0.588, curr_loss=0.519, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  52%|█████▏    | 250/480 [02:17<01:54,  2.00batch/s, avg_loss=0.587, curr_loss=0.363, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:17<01:53,  2.00batch/s, avg_loss=0.587, curr_loss=0.363, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:17<01:53,  2.00batch/s, avg_loss=0.587, curr_loss=0.363, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:18<01:53,  2.00batch/s, avg_loss=0.587, curr_loss=0.452, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:18<01:53,  2.00batch/s, avg_loss=0.587, curr_loss=0.452, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:18<01:53,  2.00batch/s, avg_loss=0.586, curr_loss=0.436, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:18<01:53,  2.00batch/s, avg_loss=0.586, curr_loss=0.436, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 253/480 [02:19<01:53,  2.00batch/s, avg_loss=0.588, curr_loss=1.000, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:19<01:51,  2.00batch/s, avg_loss=0.588, curr_loss=1.000, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:19<01:51,  2.00batch/s, avg_loss=0.588, curr_loss=1.000, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:19<01:51,  2.00batch/s, avg_loss=0.587, curr_loss=0.412, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:19<01:51,  2.00batch/s, avg_loss=0.587, curr_loss=0.412, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:20<01:51,  2.00batch/s, avg_loss=0.587, curr_loss=0.486, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:20<01:51,  2.00batch/s, avg_loss=0.587, curr_loss=0.486, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  53%|█████▎    | 256/480 [02:20<01:51,  2.00batch/s, avg_loss=0.586, curr_loss=0.453, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:20<01:50,  2.00batch/s, avg_loss=0.586, curr_loss=0.453, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:20<01:50,  2.00batch/s, avg_loss=0.586, curr_loss=0.453, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:21<01:50,  2.00batch/s, avg_loss=0.585, curr_loss=0.384, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:21<01:50,  2.00batch/s, avg_loss=0.585, curr_loss=0.384, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:21<01:50,  2.00batch/s, avg_loss=0.585, curr_loss=0.402, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:21<01:50,  2.00batch/s, avg_loss=0.585, curr_loss=0.402, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  54%|█████▍    | 259/480 [02:21<01:50,  2.00batch/s, avg_loss=0.584, curr_loss=0.388, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:21<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.388, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:21<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.388, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:22<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.565, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:22<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.565, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:22<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.598, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:22<01:48,  2.00batch/s, avg_loss=0.584, curr_loss=0.598, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▍    | 262/480 [02:23<01:48,  2.00batch/s, avg_loss=0.583, curr_loss=0.380, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:23<01:47,  2.00batch/s, avg_loss=0.583, curr_loss=0.380, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:23<01:47,  2.00batch/s, avg_loss=0.583, curr_loss=0.380, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:23<01:47,  2.00batch/s, avg_loss=0.583, curr_loss=0.446, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:23<01:47,  2.00batch/s, avg_loss=0.583, curr_loss=0.446, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:24<01:47,  2.00batch/s, avg_loss=0.582, curr_loss=0.426, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:24<01:47,  2.00batch/s, avg_loss=0.582, curr_loss=0.426, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  55%|█████▌    | 265/480 [02:24<01:47,  2.00batch/s, avg_loss=0.581, curr_loss=0.394, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:24<01:45,  2.00batch/s, avg_loss=0.581, curr_loss=0.394, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:24<01:45,  2.00batch/s, avg_loss=0.581, curr_loss=0.394, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:25<01:45,  2.00batch/s, avg_loss=0.581, curr_loss=0.524, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:25<01:45,  2.00batch/s, avg_loss=0.581, curr_loss=0.524, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:25<01:45,  2.00batch/s, avg_loss=0.580, curr_loss=0.380, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:25<01:45,  2.00batch/s, avg_loss=0.580, curr_loss=0.380, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▌    | 268/480 [02:26<01:45,  2.00batch/s, avg_loss=0.580, curr_loss=0.359, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:26<01:44,  2.00batch/s, avg_loss=0.580, curr_loss=0.359, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:26<01:44,  2.00batch/s, avg_loss=0.580, curr_loss=0.359, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:26<01:44,  2.00batch/s, avg_loss=0.579, curr_loss=0.401, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:26<01:44,  2.00batch/s, avg_loss=0.579, curr_loss=0.401, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:27<01:44,  2.00batch/s, avg_loss=0.578, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:27<01:44,  2.00batch/s, avg_loss=0.578, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  56%|█████▋    | 271/480 [02:27<01:44,  2.00batch/s, avg_loss=0.578, curr_loss=0.421, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:27<01:42,  2.00batch/s, avg_loss=0.578, curr_loss=0.421, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:27<01:42,  2.00batch/s, avg_loss=0.578, curr_loss=0.421, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:28<01:42,  2.00batch/s, avg_loss=0.577, curr_loss=0.402, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:28<01:42,  2.00batch/s, avg_loss=0.577, curr_loss=0.402, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:28<01:42,  2.00batch/s, avg_loss=0.576, curr_loss=0.363, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:28<01:42,  2.00batch/s, avg_loss=0.576, curr_loss=0.363, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  57%|█████▋    | 274/480 [02:29<01:42,  2.00batch/s, avg_loss=0.575, curr_loss=0.391, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:29<01:41,  2.00batch/s, avg_loss=0.575, curr_loss=0.391, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:29<01:41,  2.00batch/s, avg_loss=0.575, curr_loss=0.391, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:29<01:41,  2.00batch/s, avg_loss=0.575, curr_loss=0.354, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:29<01:41,  2.00batch/s, avg_loss=0.575, curr_loss=0.354, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:30<01:41,  2.00batch/s, avg_loss=0.574, curr_loss=0.410, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:30<01:41,  2.00batch/s, avg_loss=0.574, curr_loss=0.410, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 277/480 [02:30<01:41,  2.00batch/s, avg_loss=0.573, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:30<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:30<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:31<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.368, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:31<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.368, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:31<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.683, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:31<01:39,  2.00batch/s, avg_loss=0.573, curr_loss=0.683, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  58%|█████▊    | 280/480 [02:32<01:39,  2.00batch/s, avg_loss=0.572, curr_loss=0.347, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:32<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.347, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:32<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.347, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:32<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.505, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:32<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.505, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:33<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.700, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:33<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.700, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  59%|█████▉    | 283/480 [02:33<01:38,  2.00batch/s, avg_loss=0.572, curr_loss=0.373, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:33<01:36,  2.00batch/s, avg_loss=0.572, curr_loss=0.373, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:33<01:36,  2.00batch/s, avg_loss=0.572, curr_loss=0.373, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:34<01:36,  2.00batch/s, avg_loss=0.572, curr_loss=0.684, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:34<01:36,  2.00batch/s, avg_loss=0.572, curr_loss=0.684, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:34<01:36,  2.00batch/s, avg_loss=0.571, curr_loss=0.381, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:34<01:36,  2.00batch/s, avg_loss=0.571, curr_loss=0.381, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|█████▉    | 286/480 [02:35<01:36,  2.00batch/s, avg_loss=0.571, curr_loss=0.412, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:35<01:35,  2.00batch/s, avg_loss=0.571, curr_loss=0.412, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:35<01:35,  2.00batch/s, avg_loss=0.571, curr_loss=0.412, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:35<01:35,  2.00batch/s, avg_loss=0.571, curr_loss=0.520, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:35<01:35,  2.00batch/s, avg_loss=0.571, curr_loss=0.520, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:36<01:35,  2.00batch/s, avg_loss=0.570, curr_loss=0.378, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:36<01:35,  2.00batch/s, avg_loss=0.570, curr_loss=0.378, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  60%|██████    | 289/480 [02:36<01:35,  2.00batch/s, avg_loss=0.571, curr_loss=0.767, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:36<01:33,  2.00batch/s, avg_loss=0.571, curr_loss=0.767, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:36<01:33,  2.00batch/s, avg_loss=0.571, curr_loss=0.767, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:37<01:33,  2.00batch/s, avg_loss=0.570, curr_loss=0.397, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:37<01:33,  2.00batch/s, avg_loss=0.570, curr_loss=0.397, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:37<01:33,  2.00batch/s, avg_loss=0.570, curr_loss=0.442, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:37<01:33,  2.00batch/s, avg_loss=0.570, curr_loss=0.442, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████    | 292/480 [02:38<01:33,  2.00batch/s, avg_loss=0.570, curr_loss=0.519, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:38<01:32,  2.00batch/s, avg_loss=0.570, curr_loss=0.519, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:38<01:32,  2.00batch/s, avg_loss=0.570, curr_loss=0.519, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:38<01:32,  2.00batch/s, avg_loss=0.569, curr_loss=0.466, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:38<01:32,  2.00batch/s, avg_loss=0.569, curr_loss=0.466, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:39<01:32,  2.00batch/s, avg_loss=0.569, curr_loss=0.410, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:39<01:32,  2.00batch/s, avg_loss=0.569, curr_loss=0.410, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  61%|██████▏   | 295/480 [02:39<01:32,  2.00batch/s, avg_loss=0.568, curr_loss=0.336, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:39<01:30,  2.00batch/s, avg_loss=0.568, curr_loss=0.336, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:39<01:30,  2.00batch/s, avg_loss=0.568, curr_loss=0.336, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:40<01:30,  2.00batch/s, avg_loss=0.567, curr_loss=0.420, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:40<01:30,  2.00batch/s, avg_loss=0.567, curr_loss=0.420, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:40<01:30,  2.00batch/s, avg_loss=0.567, curr_loss=0.460, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:40<01:30,  2.00batch/s, avg_loss=0.567, curr_loss=0.460, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  62%|██████▏   | 298/480 [02:41<01:30,  2.00batch/s, avg_loss=0.567, curr_loss=0.528, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 301/480 [02:41<01:29,  2.00batch/s, avg_loss=0.567, curr_loss=0.528, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 301/480 [02:41<01:29,  2.00batch/s, avg_loss=0.567, curr_loss=0.528, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 301/480 [02:41<01:29,  2.00batch/s, avg_loss=0.567, curr_loss=0.550, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 301/480 [02:41<01:29,  2.00batch/s, avg_loss=0.567, curr_loss=0.550, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 301/480 [02:42<01:29,  2.00batch/s, avg_loss=0.567, curr_loss=0.543, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 303/480 [02:42<01:28,  2.00batch/s, avg_loss=0.567, curr_loss=0.543, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 303/480 [02:42<01:28,  2.00batch/s, avg_loss=0.567, curr_loss=0.543, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 303/480 [02:42<01:28,  2.00batch/s, avg_loss=0.566, curr_loss=0.346, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 303/480 [02:42<01:28,  2.00batch/s, avg_loss=0.566, curr_loss=0.346, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  63%|██████▎   | 303/480 [02:43<01:28,  2.00batch/s, avg_loss=0.566, curr_loss=0.619, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▎   | 305/480 [02:43<01:27,  2.00batch/s, avg_loss=0.566, curr_loss=0.619, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▎   | 305/480 [02:43<01:27,  2.00batch/s, avg_loss=0.566, curr_loss=0.619, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▎   | 305/480 [02:43<01:27,  2.00batch/s, avg_loss=0.566, curr_loss=0.379, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▎   | 305/480 [02:43<01:27,  2.00batch/s, avg_loss=0.566, curr_loss=0.379, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▎   | 305/480 [02:44<01:27,  2.00batch/s, avg_loss=0.565, curr_loss=0.356, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 307/480 [02:44<01:26,  2.00batch/s, avg_loss=0.565, curr_loss=0.356, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 307/480 [02:44<01:26,  2.00batch/s, avg_loss=0.565, curr_loss=0.356, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 307/480 [02:44<01:26,  2.00batch/s, avg_loss=0.564, curr_loss=0.367, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 307/480 [02:44<01:26,  2.00batch/s, avg_loss=0.564, curr_loss=0.367, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 307/480 [02:45<01:26,  2.00batch/s, avg_loss=0.564, curr_loss=0.365, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:45<01:25,  2.00batch/s, avg_loss=0.564, curr_loss=0.365, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:45<01:25,  2.00batch/s, avg_loss=0.564, curr_loss=0.365, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:45<01:25,  2.00batch/s, avg_loss=0.563, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:45<01:25,  2.00batch/s, avg_loss=0.563, curr_loss=0.364, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:46<01:25,  2.00batch/s, avg_loss=0.563, curr_loss=0.458, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:46<01:25,  2.00batch/s, avg_loss=0.563, curr_loss=0.458, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  64%|██████▍   | 309/480 [02:46<01:25,  2.00batch/s, avg_loss=0.562, curr_loss=0.506, gpu_usage=GPU 0: 140.6MB]
Train Epoch 0:  65%|██████▌   | 312/480 [02:46<01:24,  2.00batch/s, avg_loss=0.562, curr_loss=0.506, gpu_usage=GPU 0: 140.6MB]
